song,total,write,read,gen_fpid
song11.wav,0.609161,0.200068,0.025712,0.244140
song12_extra.wav,0.442888,0.106212,0.016038,0.269543
song14_extra.wav,0.420231,0.110025,0.015902,0.243729
song15_extra.wav,0.476400,0.110148,0.019535,0.293353
song16_extra.wav,0.493420,0.126250,0.019256,0.285289
song17_extra.wav,0.459826,0.125211,0.019010,0.254419
song18_extra.wav,0.490911,0.126441,0.018974,0.284890
song19_extra.wav,0.541467,0.140096,0.021755,0.307308
song20_extra.wav,0.533599,0.135097,0.021299,0.304593
song21_extra.wav,0.542101,0.133372,0.021706,0.304381
song22_extra.wav,0.545924,0.140946,0.028218,0.304512
song23_extra.wav,0.530287,0.131978,0.021465,0.304421
song24_extra.wav,0.485732,0.133441,0.022130,0.257212
song26_extra.wav,0.532062,0.134044,0.021341,0.304431
song27_extra.wav,0.530987,0.133683,0.021464,0.303606
song28_extra.wav,0.549539,0.151328,0.022496,0.302805
song44_extra.wav,0.535124,0.135852,0.021524,0.303875
song45_extra.wav,0.541102,0.134056,0.022090,0.304108
song46_extra.wav,0.496086,0.134457,0.022137,0.266657
song47_extra.wav,0.533403,0.134944,0.021130,0.304350
song49_extra.wav,0.529588,0.132832,0.021450,0.303047
song4_extra.wav,0.536573,0.134267,0.021645,0.308407
song50_extra.wav,0.531538,0.133949,0.021538,0.303826
song51_extra.wav,0.547107,0.141380,0.021426,0.311734
song52_extra.wav,0.529624,0.132825,0.021290,0.302540
song53_extra.wav,0.534116,0.134880,0.021277,0.304345
song54_extra.wav,0.478592,0.133501,0.021618,0.250780
song56_extra.wav,0.534070,0.134636,0.021630,0.304377
song57_extra.wav,0.482582,0.136394,0.016443,0.272322
song58_extra.wav,0.454941,0.114670,0.016736,0.272305
song59_extra.wav,0.533267,0.165246,0.026440,0.267658
song5_extra.wav,0.472890,0.121423,0.016470,0.274582
song60_extra.wav,0.420122,0.111340,0.012116,0.255453
song61_extra.wav,0.402710,0.096466,0.012213,0.255800
song63_extra.wav,0.403185,0.095810,0.012797,0.255966
song64_extra.wav,0.400802,0.095412,0.012188,0.255397
song65_extra.wav,0.403286,0.094723,0.012705,0.256869
song66_extra.wav,0.393153,0.102397,0.012384,0.245752
song67_extra.wav,0.388097,0.098768,0.012575,0.245885
song68_extra.wav,0.390694,0.083761,0.012598,0.263194
song69_extra.wav,0.364179,0.083949,0.011000,0.238584
song70_extra.wav,0.374141,0.084605,0.012915,0.245841
song71_extra.wav,0.372875,0.084708,0.012406,0.245420
song72_extra.wav,0.352386,0.077576,0.010659,0.238999
song73_extra.wav,0.352678,0.077819,0.010694,0.239058
song74_extra.wav,0.342611,0.077293,0.011050,0.228957
song75_extra.wav,0.352017,0.076989,0.010375,0.239411
song76_extra.wav,0.352841,0.077256,0.010692,0.239250
song78_extra.wav,0.358530,0.082893,0.010538,0.239142
song79_extra.wav,0.360538,0.078333,0.011289,0.244974
song7_extra.wav,0.340115,0.074066,0.009346,0.234776
song80_extra.wav,0.339484,0.073730,0.009194,0.234365
song81_extra.wav,0.366148,0.081166,0.009189,0.253775
song82_extra.wav,0.339348,0.073160,0.009238,0.234835
song83_extra.wav,0.338739,0.073794,0.009164,0.234222
song85_extra.wav,0.351370,0.073587,0.009320,0.246385
song86_extra.wav,0.338969,0.073540,0.009264,0.234471
song87_extra.wav,0.332035,0.070505,0.011083,0.231067
song88_extra.wav,0.348712,0.071738,0.008375,0.249115
song89_extra.wav,0.338652,0.079324,0.008466,0.231413
song8_extra.wav,0.330336,0.071652,0.008353,0.231321
song90_extra.wav,0.325181,0.069996,0.008518,0.227676
song92_extra.wav,0.330848,0.071497,0.008610,0.231331
song93_extra.wav,0.328824,0.070168,0.008802,0.230949
song94_extra.wav,0.330014,0.071313,0.008426,0.231112
song95_extra.wav,0.323225,0.069923,0.007924,0.228424
song96_extra.wav,0.309194,0.069798,0.007893,0.214305
song97_extra.wav,0.323279,0.069833,0.008075,0.228451
song98_extra.wav,0.321444,0.068372,0.007889,0.228363
song9_extra.wav,0.322654,0.068716,0.008007,0.228744
song0.wav,0.323141,0.069464,0.007897,0.228437
song10.wav,0.325830,0.069988,0.007927,0.230677
song111.wav,0.323248,0.069868,0.007860,0.228481
song113.wav,0.321567,0.069375,0.007861,0.227481
song115.wav,0.315667,0.066732,0.007423,0.226327
song117.wav,0.316347,0.067126,0.007516,0.226371
song119.wav,0.315516,0.067205,0.007489,0.225188
song120.wav,0.325644,0.076035,0.007622,0.226757
song105_extra.wav,0.337200,0.068537,0.007577,0.245775
song106_extra.wav,0.327617,0.077839,0.007595,0.226572
song107_extra.wav,0.317155,0.068059,0.007523,0.226286
song109_extra.wav,0.323952,0.074244,0.007570,0.226573
song10_extra.wav,0.312170,0.065983,0.007477,0.224543
song11_extra.wav,0.310893,0.065840,0.007282,0.223471
song1_extra.wav,0.311187,0.065238,0.007299,0.224736
song0_extra.wav,0.332038,0.066192,0.007254,0.244629
song100_extra.wav,0.310570,0.064979,0.007183,0.224632
