song,total,write,read,gen_fpid
song11.wav,0.873643,0.206294,0.029692,0.452499
song12_extra.wav,0.665543,0.122569,0.019738,0.457983
song14_extra.wav,0.611349,0.127216,0.019348,0.403189
song15_extra.wav,0.656807,0.125206,0.018981,0.451292
song16_extra.wav,0.605578,0.124529,0.018851,0.402014
song17_extra.wav,0.660475,0.135423,0.021387,0.430230
song18_extra.wav,0.653719,0.135188,0.021423,0.424748
song19_extra.wav,0.651858,0.135464,0.021005,0.422777
song20_extra.wav,0.650923,0.135412,0.021098,0.422545
song21_extra.wav,0.660684,0.133538,0.021077,0.433954
song22_extra.wav,0.641336,0.135627,0.021482,0.412273
song23_extra.wav,0.651484,0.134949,0.021711,0.422721
song24_extra.wav,0.650987,0.136065,0.021195,0.422409
song26_extra.wav,0.657484,0.135612,0.019866,0.430320
song27_extra.wav,0.652334,0.141952,0.022125,0.415757
song28_extra.wav,0.655771,0.135783,0.025772,0.422872
song44_extra.wav,0.669576,0.143179,0.032241,0.422243
song45_extra.wav,0.657837,0.135673,0.021019,0.421868
song46_extra.wav,0.677578,0.142088,0.021184,0.442498
song47_extra.wav,0.649649,0.134418,0.020956,0.422749
song49_extra.wav,0.648926,0.134260,0.021384,0.422131
song4_extra.wav,0.659260,0.142964,0.021748,0.422217
song50_extra.wav,0.684445,0.135196,0.021243,0.456496
song51_extra.wav,0.644044,0.136581,0.021488,0.413522
song52_extra.wav,0.647091,0.132857,0.020951,0.422011
song53_extra.wav,0.656583,0.142210,0.020988,0.422099
song54_extra.wav,0.691257,0.133191,0.021279,0.465613
song56_extra.wav,0.653935,0.134178,0.021242,0.426929
song57_extra.wav,0.624766,0.113337,0.016305,0.444344
song58_extra.wav,0.613666,0.116700,0.016154,0.429537
song59_extra.wav,0.634684,0.124054,0.015637,0.444254
song5_extra.wav,0.571597,0.114759,0.012544,0.397246
song60_extra.wav,0.583074,0.104549,0.017709,0.422941
song61_extra.wav,0.555526,0.103335,0.012345,0.402138
song63_extra.wav,0.590566,0.102872,0.011957,0.438270
song64_extra.wav,0.582744,0.109428,0.012375,0.422589
song65_extra.wav,0.535801,0.083441,0.012439,0.409936
song66_extra.wav,0.536759,0.083923,0.012316,0.410084
song67_extra.wav,0.538723,0.086193,0.012140,0.410378
song68_extra.wav,0.536494,0.084237,0.012250,0.409961
song69_extra.wav,0.534518,0.083779,0.010419,0.409976
song70_extra.wav,0.515702,0.078463,0.010760,0.401712
song71_extra.wav,0.518109,0.081125,0.010398,0.401421
song72_extra.wav,0.534539,0.077425,0.010453,0.421522
song73_extra.wav,0.512405,0.077558,0.010695,0.399003
song74_extra.wav,0.500162,0.077451,0.010430,0.387472
song75_extra.wav,0.491334,0.077047,0.009322,0.380938
song76_extra.wav,0.499222,0.073090,0.009044,0.395644
song78_extra.wav,0.501340,0.074617,0.009207,0.395878
song79_extra.wav,0.499803,0.073165,0.009255,0.395701
song7_extra.wav,0.487865,0.074685,0.009449,0.382187
song80_extra.wav,0.504011,0.074007,0.009128,0.399311
song81_extra.wav,0.494657,0.073547,0.009265,0.390380
song82_extra.wav,0.500006,0.073721,0.009020,0.395847
song83_extra.wav,0.500957,0.074753,0.009118,0.395692
song85_extra.wav,0.500260,0.074009,0.009312,0.395390
song86_extra.wav,0.479885,0.073291,0.009323,0.375791
song87_extra.wav,0.495412,0.074686,0.009104,0.389883
song88_extra.wav,0.500620,0.072803,0.009263,0.396753
song89_extra.wav,0.508480,0.080451,0.009408,0.396735
song8_extra.wav,0.500936,0.074178,0.009185,0.395643
song90_extra.wav,0.499658,0.073482,0.009172,0.395671
song92_extra.wav,0.523271,0.073409,0.009290,0.419072
song93_extra.wav,0.502169,0.073919,0.009221,0.397638
song94_extra.wav,0.507644,0.074358,0.009710,0.401971
song95_extra.wav,0.500444,0.073983,0.009168,0.395743
song96_extra.wav,0.500367,0.073822,0.009220,0.395649
song97_extra.wav,0.500883,0.074525,0.009243,0.395694
song98_extra.wav,0.499624,0.073101,0.009176,0.395728
song9_extra.wav,0.530844,0.072691,0.009363,0.426936
song0.wav,0.496449,0.072984,0.009162,0.392769
song10.wav,0.500231,0.074041,0.009218,0.395670
song111.wav,0.500092,0.073764,0.009299,0.395622
song113.wav,0.500857,0.073439,0.009782,0.396119
song115.wav,0.502514,0.076696,0.009068,0.395455
song117.wav,0.522625,0.073818,0.009863,0.417528
song119.wav,0.503915,0.079614,0.009104,0.393845
song120.wav,0.503349,0.074207,0.009258,0.398396
song105_extra.wav,0.499599,0.073263,0.009144,0.395778
song106_extra.wav,0.499582,0.072868,0.009571,0.395749
song107_extra.wav,0.501152,0.072883,0.011158,0.395599
song109_extra.wav,0.526138,0.073139,0.009206,0.422318
song10_extra.wav,0.502733,0.074223,0.009210,0.397754
song11_extra.wav,0.509256,0.082507,0.009361,0.395755
song1_extra.wav,0.499721,0.073150,0.009200,0.395850
song0_extra.wav,0.500219,0.073546,0.009277,0.395870
song100_extra.wav,0.499346,0.073090,0.009192,0.395608
song101_extra.wav,0.505805,0.079224,0.009376,0.395714
song102_extra.wav,0.479706,0.072953,0.009303,0.375953
song103_extra.wav,0.499324,0.072868,0.009472,0.395510
song104_extra.wav,0.499278,0.072864,0.009218,0.395746
song108_extra.wav,0.500302,0.074025,0.009163,0.395574
song13_extra.wav,0.501151,0.074830,0.009242,0.395673
song25_extra.wav,0.500600,0.074244,0.009218,0.395625
song29_extra.wav,0.478185,0.073281,0.009294,0.374086
song2_extra.wav,0.497277,0.074118,0.009176,0.392423
song30_extra.wav,0.508692,0.082340,0.009134,0.395679
song31_extra.wav,0.499532,0.072778,0.009826,0.395574
song32_extra.wav,0.500470,0.074071,0.009175,0.395789
song33_extra.wav,0.500008,0.073692,0.009173,0.395681
song34_extra.wav,0.521707,0.073603,0.009139,0.417401
song35_extra.wav,0.503365,0.073959,0.009546,0.398443
song36_extra.wav,0.500712,0.074749,0.009156,0.395545
song37_extra.wav,0.499560,0.073247,0.009187,0.395734
song38_extra.wav,0.500831,0.073983,0.009480,0.395737
song39_extra.wav,0.503756,0.077523,0.009153,0.395635
song3_extra.wav,0.524162,0.072878,0.009293,0.420550
song40_extra.wav,0.503316,0.074337,0.009151,0.398184
song41_extra.wav,0.503602,0.072881,0.009427,0.399596
song42_extra.wav,0.499323,0.072654,0.009409,0.395901
song43_extra.wav,0.501183,0.074412,0.009288,0.395879
song48_extra.wav,0.500062,0.073377,0.009283,0.395709
song55_extra.wav,0.504429,0.074011,0.009187,0.399650
song62_extra.wav,0.496359,0.079134,0.009299,0.386341
song6_extra.wav,0.501777,0.073205,0.009210,0.397838
song77_extra.wav,0.501116,0.074116,0.009273,0.395899
song84_extra.wav,0.498991,0.072644,0.009297,0.395610
song91_extra.wav,0.499387,0.072883,0.009354,0.395525
song99_extra.wav,0.500345,0.073429,0.009500,0.395827
song110.wav,0.514622,0.073280,0.009315,0.410448
song112.wav,0.499662,0.080704,0.009332,0.388019
song114.wav,0.499157,0.072833,0.009210,0.395737
song116.wav,0.500534,0.074122,0.009254,0.395619
song118.wav,0.502328,0.074515,0.009497,0.396524
song121.wav,0.503657,0.073127,0.009203,0.395679
song122.wav,0.512213,0.073211,0.009174,0.408410
song123.wav,0.505567,0.072762,0.009366,0.401617
song124.wav,0.495256,0.074163,0.009090,0.390226
song125.wav,0.499691,0.073333,0.009278,0.395774
song126.wav,0.499562,0.073243,0.009175,0.395809
song127.wav,0.500509,0.074034,0.009270,0.395563
song128.wav,0.507636,0.072977,0.009329,0.403735
song129.wav,0.501732,0.072930,0.009146,0.398230
song12.wav,0.496979,0.073221,0.009147,0.392809
song130.wav,0.499653,0.073575,0.009151,0.395579
