song,total,write,read,gen_fpid
song11.wav,0.601859,0.221418,0.024891,0.213736
song12_extra.wav,0.342203,0.106928,0.023974,0.158268
song14_extra.wav,0.384838,0.135713,0.018914,0.166899
song15_extra.wav,0.375453,0.127002,0.019017,0.166487
song16_extra.wav,0.371017,0.124278,0.019219,0.165956
song17_extra.wav,0.379953,0.126542,0.019167,0.173443
song18_extra.wav,0.408574,0.134796,0.021550,0.179262
song19_extra.wav,0.415170,0.134825,0.021839,0.185914
song20_extra.wav,0.408207,0.135189,0.021094,0.179036
song21_extra.wav,0.415012,0.134169,0.021635,0.178627
song22_extra.wav,0.414910,0.142203,0.021598,0.178882
song23_extra.wav,0.408627,0.134462,0.021517,0.179446
song24_extra.wav,0.405707,0.132833,0.021657,0.178676
song26_extra.wav,0.405744,0.133343,0.021801,0.178221
song27_extra.wav,0.405650,0.133173,0.021536,0.179050
song28_extra.wav,0.411416,0.139136,0.021197,0.178292
song44_extra.wav,0.413325,0.140255,0.021262,0.179230
song45_extra.wav,0.423571,0.149962,0.021423,0.179482
song46_extra.wav,0.406021,0.133888,0.021370,0.178624
song47_extra.wav,0.437154,0.163880,0.021643,0.179309
song49_extra.wav,0.405753,0.132975,0.021428,0.179040
song4_extra.wav,0.413821,0.141564,0.021532,0.178503
song50_extra.wav,0.407402,0.134092,0.021638,0.179466
song51_extra.wav,0.405821,0.134189,0.021138,0.178374
song52_extra.wav,0.406808,0.134083,0.021363,0.178469
song53_extra.wav,0.366876,0.137876,0.016051,0.156381
song54_extra.wav,0.337700,0.114228,0.016122,0.155941
song56_extra.wav,0.341349,0.118069,0.016223,0.155794
song57_extra.wav,0.337086,0.113497,0.015998,0.155990
song58_extra.wav,0.337931,0.114127,0.015763,0.156527
song59_extra.wav,0.287948,0.094142,0.012347,0.143066
song5_extra.wav,0.287747,0.094440,0.012179,0.143060
song60_extra.wav,0.293769,0.100470,0.012162,0.143011
song61_extra.wav,0.289601,0.095662,0.012037,0.143256
song63_extra.wav,0.286082,0.093267,0.011888,0.142733
song64_extra.wav,0.283578,0.093909,0.012383,0.141294
song65_extra.wav,0.260484,0.082848,0.012232,0.134902
song66_extra.wav,0.261376,0.083858,0.012138,0.134802
song67_extra.wav,0.317309,0.085044,0.017783,0.175519
song68_extra.wav,0.262618,0.083294,0.012539,0.135890
song69_extra.wav,0.261848,0.083422,0.012380,0.135464
song70_extra.wav,0.261576,0.083934,0.012136,0.134797
song71_extra.wav,0.265366,0.097646,0.010197,0.130890
song72_extra.wav,0.250235,0.078311,0.010729,0.130844
song73_extra.wav,0.243323,0.077083,0.010462,0.130400
song74_extra.wav,0.244599,0.077781,0.010360,0.130991
song75_extra.wav,0.243145,0.077105,0.010428,0.130374
song76_extra.wav,0.244810,0.077556,0.010912,0.130903
song78_extra.wav,0.248960,0.078257,0.010925,0.133410
song79_extra.wav,0.243064,0.075905,0.010516,0.130912
song7_extra.wav,0.231726,0.073317,0.009315,0.127290
song80_extra.wav,0.234484,0.074248,0.009383,0.128945
song81_extra.wav,0.233409,0.074579,0.009559,0.127412
song82_extra.wav,0.230457,0.072395,0.009157,0.127015
song83_extra.wav,0.231665,0.073420,0.009077,0.127411
song85_extra.wav,0.231339,0.072956,0.009004,0.127352
