song,total,write,read,gen_fpid
song11.wav,2.056458,0.207087,0.031743,1.645459
song12_extra.wav,1.838285,0.146044,0.021000,1.603109
song14_extra.wav,1.835033,0.125749,0.018824,1.626758
song15_extra.wav,1.820916,0.125167,0.021534,1.607680
song16_extra.wav,1.877994,0.133348,0.021457,1.648953
song17_extra.wav,1.889072,0.135333,0.021499,1.658141
song18_extra.wav,1.888334,0.142068,0.022129,1.649446
song19_extra.wav,1.877242,0.134354,0.021622,1.647281
song20_extra.wav,1.839179,0.134561,0.022012,1.609044
song21_extra.wav,1.874592,0.133878,0.021597,1.644932
song22_extra.wav,1.886207,0.132465,0.021582,1.658253
song23_extra.wav,1.836466,0.132848,0.026670,1.603204
song24_extra.wav,1.884859,0.142053,0.021242,1.646708
song26_extra.wav,1.852561,0.150653,0.021231,1.606166
song27_extra.wav,1.836258,0.132526,0.021700,1.607793
song28_extra.wav,1.880901,0.141406,0.021500,1.643037
song44_extra.wav,1.880373,0.141530,0.021519,1.643167
song45_extra.wav,1.888822,0.134237,0.021375,1.651793
song46_extra.wav,1.880694,0.134425,0.021282,1.644791
song47_extra.wav,1.849317,0.133917,0.021309,1.610359
song49_extra.wav,1.873424,0.134394,0.021308,1.643405
song4_extra.wav,1.880512,0.133630,0.021775,1.651548
song50_extra.wav,1.845662,0.133513,0.021506,1.616708
song51_extra.wav,1.839103,0.134203,0.021650,1.609559
song52_extra.wav,1.842662,0.132520,0.021505,1.614387
song53_extra.wav,1.844746,0.142192,0.021093,1.607572
song54_extra.wav,1.893329,0.133311,0.021779,1.664551
song56_extra.wav,1.844699,0.141796,0.021422,1.607521
song57_extra.wav,1.837223,0.132582,0.021710,1.609734
song58_extra.wav,1.890812,0.135949,0.022243,1.658305
song59_extra.wav,1.845216,0.135053,0.021733,1.614244
song5_extra.wav,1.892356,0.134172,0.022069,1.662262
song60_extra.wav,1.889029,0.132926,0.021321,1.661230
song61_extra.wav,1.894333,0.141334,0.021407,1.657805
song63_extra.wav,1.839890,0.133638,0.021833,1.610937
song64_extra.wav,1.865671,0.134472,0.019961,1.637323
song65_extra.wav,1.836096,0.132410,0.021637,1.608215
song66_extra.wav,1.882687,0.133467,0.021988,1.653006
song67_extra.wav,1.892037,0.133797,0.021909,1.663128
song68_extra.wav,1.900592,0.141215,0.021846,1.663954
song69_extra.wav,1.832245,0.132955,0.021464,1.604842
song70_extra.wav,1.874756,0.133584,0.021875,1.639682
song71_extra.wav,1.879299,0.132831,0.019346,1.647169
song72_extra.wav,1.839827,0.133406,0.021459,1.610394
song73_extra.wav,1.889443,0.134048,0.021203,1.660638
song74_extra.wav,1.833571,0.134654,0.021375,1.603823
song75_extra.wav,1.891324,0.132949,0.022012,1.663507
song76_extra.wav,1.885315,0.133673,0.021150,1.657270
song78_extra.wav,1.873862,0.133015,0.021711,1.645743
song79_extra.wav,1.837573,0.132092,0.021423,1.609686
song7_extra.wav,1.883155,0.142816,0.021323,1.645365
song80_extra.wav,1.843045,0.143250,0.021047,1.604649
song81_extra.wav,1.832253,0.133242,0.021064,1.604010
song82_extra.wav,1.872559,0.141694,0.021329,1.634628
song83_extra.wav,1.902366,0.133370,0.022059,1.663556
song85_extra.wav,1.891419,0.143436,0.028317,1.645305
song86_extra.wav,1.884416,0.143233,0.021436,1.645246
song87_extra.wav,1.844001,0.135199,0.021505,1.604213
song88_extra.wav,1.877193,0.132470,0.021804,1.648940
song89_extra.wav,1.838902,0.134033,0.022120,1.609499
song8_extra.wav,1.889927,0.133029,0.021388,1.662315
song90_extra.wav,1.838634,0.134594,0.021238,1.609323
song92_extra.wav,1.838633,0.134559,0.021276,1.609404
song93_extra.wav,1.883778,0.134726,0.021436,1.654019
song94_extra.wav,1.888417,0.133128,0.021587,1.660352
song95_extra.wav,1.879761,0.135387,0.022184,1.648112
song96_extra.wav,1.837227,0.133045,0.021636,1.609579
song97_extra.wav,1.891730,0.133215,0.021636,1.663209
song98_extra.wav,1.835130,0.133267,0.021881,1.606474
song9_extra.wav,1.873563,0.133004,0.021150,1.645911
song0.wav,1.890007,0.134375,0.021265,1.660641
song10.wav,1.835608,0.133968,0.021155,1.606884
song111.wav,1.889695,0.133136,0.021469,1.662030
song113.wav,1.887824,0.134681,0.021500,1.657774
song115.wav,1.861736,0.134875,0.021590,1.631223
song117.wav,1.888234,0.132419,0.021084,1.661827
song119.wav,1.831448,0.133226,0.021272,1.603932
song120.wav,1.887825,0.138718,0.021529,1.654052
song105_extra.wav,1.830988,0.133171,0.021358,1.603500
song106_extra.wav,1.834848,0.133221,0.021237,1.607055
song107_extra.wav,1.880153,0.133691,0.020914,1.652845
song109_extra.wav,1.893197,0.133808,0.021512,1.664166
song10_extra.wav,1.888556,0.133396,0.021912,1.660399
song11_extra.wav,1.881191,0.132808,0.021409,1.653702
song1_extra.wav,1.836668,0.132602,0.022111,1.608432
song0_extra.wav,1.872412,0.133482,0.022073,1.643271
song100_extra.wav,1.880324,0.133283,0.021817,1.645998
song101_extra.wav,1.880799,0.132964,0.021547,1.647447
song102_extra.wav,1.833526,0.133676,0.020992,1.606217
song103_extra.wav,1.880575,0.132380,0.021040,1.654507
song104_extra.wav,1.864199,0.134663,0.020816,1.635571
song108_extra.wav,1.876600,0.132458,0.021407,1.649377
song13_extra.wav,1.876740,0.133438,0.021936,1.648221
song25_extra.wav,1.880511,0.131934,0.021500,1.653731
song29_extra.wav,1.875525,0.133742,0.020692,1.647522
song2_extra.wav,1.867133,0.134524,0.021221,1.638085
song30_extra.wav,1.888566,0.132596,0.021190,1.661062
song31_extra.wav,1.873821,0.133423,0.020842,1.646304
song32_extra.wav,1.883150,0.133437,0.021988,1.652081
song33_extra.wav,1.877799,0.133850,0.021167,1.648624
song34_extra.wav,1.879655,0.132970,0.026637,1.646032
song35_extra.wav,1.862575,0.137488,0.021178,1.630346
song36_extra.wav,1.880652,0.131943,0.021612,1.653894
song37_extra.wav,1.882496,0.133124,0.021454,1.654030
song38_extra.wav,1.874835,0.134004,0.021186,1.645978
song39_extra.wav,1.879666,0.139302,0.021488,1.645358
song3_extra.wav,1.875072,0.133294,0.021397,1.646604
song40_extra.wav,1.870608,0.132396,0.021375,1.643305
song41_extra.wav,1.831128,0.133561,0.021271,1.602969
song42_extra.wav,1.866305,0.141956,0.021478,1.629346
song43_extra.wav,1.871558,0.132190,0.021211,1.644632
song48_extra.wav,1.859424,0.134350,0.021102,1.630691
song55_extra.wav,1.874725,0.132982,0.021210,1.647027
song62_extra.wav,1.879891,0.141801,0.021561,1.643003
song6_extra.wav,1.871986,0.133848,0.021299,1.643732
song77_extra.wav,1.870833,0.134548,0.021536,1.641344
song84_extra.wav,1.875400,0.133661,0.021150,1.647511
