song,total,write,read,gen_fpid
song11.wav,0.569297,0.231660,0.023991,0.185272
song12_extra.wav,0.329119,0.105292,0.016024,0.155472
song14_extra.wav,0.327424,0.109072,0.015367,0.153716
song15_extra.wav,0.326373,0.109422,0.015104,0.153689
song16_extra.wav,0.332827,0.116240,0.015198,0.152971
song17_extra.wav,0.388047,0.133702,0.020217,0.170704
song18_extra.wav,0.386452,0.139062,0.019553,0.166211
song19_extra.wav,0.372102,0.125565,0.018764,0.166462
song20_extra.wav,0.375598,0.127465,0.019440,0.166464
song21_extra.wav,0.417258,0.134159,0.022045,0.179993
song22_extra.wav,0.411478,0.135767,0.021588,0.180102
song23_extra.wav,0.407141,0.133434,0.022113,0.179034
song24_extra.wav,0.406922,0.134269,0.021550,0.179549
song26_extra.wav,0.408518,0.134534,0.022119,0.179357
song27_extra.wav,0.409067,0.134273,0.021728,0.179333
song28_extra.wav,0.413826,0.139875,0.021401,0.179588
song44_extra.wav,0.509524,0.134471,0.038014,0.244704
song45_extra.wav,0.411608,0.135227,0.021414,0.180296
song46_extra.wav,0.427297,0.142989,0.021689,0.188701
song47_extra.wav,0.408641,0.135093,0.021738,0.179041
song49_extra.wav,0.418707,0.133969,0.021767,0.188917
song4_extra.wav,0.407043,0.132835,0.021252,0.179910
song50_extra.wav,0.416930,0.133875,0.021758,0.179678
song51_extra.wav,0.411022,0.134999,0.022281,0.179632
song52_extra.wav,0.414651,0.140558,0.021458,0.179047
song53_extra.wav,0.405268,0.132395,0.021537,0.179099
song54_extra.wav,0.415075,0.141191,0.022030,0.178707
song56_extra.wav,0.407046,0.133437,0.021555,0.179303
song57_extra.wav,0.418743,0.143749,0.021887,0.179507
song58_extra.wav,0.339656,0.114375,0.016330,0.156665
song59_extra.wav,0.340596,0.115897,0.016463,0.156511
song5_extra.wav,0.338204,0.114263,0.016349,0.155960
song60_extra.wav,0.338870,0.114473,0.016243,0.156679
song61_extra.wav,0.289346,0.095868,0.012233,0.142703
song63_extra.wav,0.289884,0.095477,0.012281,0.143478
song64_extra.wav,0.296505,0.102912,0.012585,0.142608
song65_extra.wav,0.289037,0.094618,0.012220,0.143432
song66_extra.wav,0.292901,0.093656,0.017181,0.143469
song67_extra.wav,0.300185,0.103068,0.015018,0.143215
song68_extra.wav,0.314467,0.083999,0.010740,0.188823
song69_extra.wav,0.261139,0.083504,0.010392,0.136559
song70_extra.wav,0.261999,0.084871,0.010875,0.136101
song71_extra.wav,0.263237,0.083651,0.012312,0.136209
song72_extra.wav,0.269475,0.084486,0.017617,0.136404
song73_extra.wav,0.261523,0.084066,0.010692,0.136478
song74_extra.wav,0.258822,0.083701,0.010645,0.135324
song75_extra.wav,0.294616,0.085650,0.010789,0.172657
song76_extra.wav,0.299205,0.077503,0.010754,0.185648
song78_extra.wav,0.245271,0.077594,0.011198,0.130954
song79_extra.wav,0.288068,0.078070,0.010575,0.173770
song7_extra.wav,0.298861,0.077256,0.010518,0.185520
song80_extra.wav,0.299570,0.078065,0.010683,0.185339
song81_extra.wav,0.305437,0.077053,0.010785,0.192121
song82_extra.wav,0.293620,0.081908,0.009283,0.180616
song83_extra.wav,0.284735,0.072835,0.009633,0.180466
song85_extra.wav,0.243500,0.073290,0.009517,0.138756
song86_extra.wav,0.284992,0.073174,0.009475,0.180738
song87_extra.wav,0.286389,0.073883,0.009371,0.180843
song88_extra.wav,0.284595,0.072889,0.009279,0.180593
song89_extra.wav,0.287453,0.075404,0.009339,0.180621
song8_extra.wav,0.288364,0.073355,0.009595,0.180652
song90_extra.wav,0.276654,0.071112,0.008755,0.177597
song92_extra.wav,0.276298,0.070947,0.008581,0.177531
song93_extra.wav,0.277145,0.071418,0.008624,0.177820
song94_extra.wav,0.285460,0.079503,0.008619,0.177676
song95_extra.wav,0.229416,0.070252,0.008597,0.131253
song96_extra.wav,0.277235,0.071897,0.008659,0.177627
song97_extra.wav,0.276546,0.071363,0.008370,0.177486
song98_extra.wav,0.277759,0.072083,0.008500,0.177686
song9_extra.wav,0.277036,0.071329,0.009016,0.177494
song0.wav,0.270321,0.069755,0.007910,0.175322
song10.wav,0.270602,0.070159,0.008329,0.175068
song111.wav,0.271920,0.068256,0.008093,0.178210
song113.wav,0.268399,0.068328,0.007907,0.175135
song115.wav,0.241055,0.070050,0.007914,0.145839
song117.wav,0.269346,0.069073,0.007986,0.175307
song119.wav,0.241645,0.068802,0.007951,0.147831
song120.wav,0.269392,0.069136,0.007859,0.175285
song105_extra.wav,0.277215,0.077072,0.007916,0.175136
song106_extra.wav,0.263963,0.067405,0.007922,0.173187
song107_extra.wav,0.263898,0.066958,0.007553,0.173768
song109_extra.wav,0.264136,0.067514,0.007710,0.173340
song10_extra.wav,0.262663,0.066493,0.007522,0.173154
song11_extra.wav,0.262538,0.066246,0.007478,0.173336
song1_extra.wav,0.262858,0.066558,0.007494,0.173234
song0_extra.wav,0.262144,0.065988,0.007453,0.173218
song100_extra.wav,0.263649,0.067493,0.007487,0.173247
song101_extra.wav,0.270611,0.074466,0.007693,0.173217
song102_extra.wav,0.270565,0.067683,0.007386,0.180419
song103_extra.wav,0.258622,0.065686,0.007222,0.171738
song104_extra.wav,0.258661,0.065647,0.007214,0.171648
song108_extra.wav,0.258722,0.065800,0.007354,0.171583
song13_extra.wav,0.259576,0.066154,0.007683,0.171623
song25_extra.wav,0.259889,0.066899,0.007238,0.171740
song29_extra.wav,0.259068,0.065954,0.007167,0.171772
song2_extra.wav,0.258578,0.065321,0.007337,0.171802
song30_extra.wav,0.259106,0.065874,0.007199,0.171685
song31_extra.wav,0.259064,0.066016,0.007266,0.171742
song32_extra.wav,0.259419,0.066051,0.007518,0.171746
song33_extra.wav,0.254422,0.063919,0.006966,0.170524
song34_extra.wav,0.257000,0.066182,0.007258,0.170423
song35_extra.wav,0.257738,0.065583,0.008545,0.170483
song36_extra.wav,0.263945,0.070236,0.006989,0.170510
song37_extra.wav,0.254638,0.063854,0.006998,0.170610
song38_extra.wav,0.257723,0.065688,0.007085,0.171805
song39_extra.wav,0.255195,0.064763,0.007015,0.170433
song3_extra.wav,0.208436,0.064608,0.007166,0.123500
song40_extra.wav,0.263816,0.073064,0.006974,0.170653
song41_extra.wav,0.255431,0.064793,0.006996,0.170571
song42_extra.wav,0.255933,0.065294,0.007023,0.170491
song43_extra.wav,0.255580,0.064627,0.007366,0.170434
song48_extra.wav,0.255045,0.064375,0.007005,0.170547
song55_extra.wav,0.263466,0.072803,0.006950,0.170535
song62_extra.wav,0.254050,0.063840,0.006945,0.170328
song6_extra.wav,0.256043,0.064937,0.007442,0.170531
song77_extra.wav,0.255684,0.065049,0.007007,0.170441
song84_extra.wav,0.254896,0.064025,0.007179,0.170600
song91_extra.wav,0.263724,0.072946,0.006980,0.170599
song99_extra.wav,0.255135,0.064622,0.006961,0.170543
