song,total,write,read,gen_fpid
song11.wav,1.124959,0.213116,0.023349,0.748276
song12_extra.wav,0.894888,0.106540,0.016295,0.719100
song14_extra.wav,0.917644,0.114490,0.015423,0.738333
song15_extra.wav,0.917714,0.108136,0.019075,0.737863
song16_extra.wav,0.967842,0.128486,0.019323,0.757870
song17_extra.wav,0.944718,0.124506,0.019125,0.739171
song18_extra.wav,0.998544,0.150277,0.020161,0.758126
song19_extra.wav,0.965295,0.134366,0.021869,0.736180
song20_extra.wav,0.968747,0.133108,0.021692,0.740974
song21_extra.wav,0.960101,0.139927,0.019272,0.728342
song22_extra.wav,0.973038,0.147845,0.021778,0.730222
song23_extra.wav,0.965077,0.133487,0.019615,0.729314
song24_extra.wav,0.968303,0.134008,0.030975,0.730098
song26_extra.wav,0.949385,0.133542,0.019750,0.722480
song27_extra.wav,0.951844,0.133582,0.018985,0.726702
song28_extra.wav,0.945873,0.132975,0.019017,0.720469
song44_extra.wav,0.967612,0.133681,0.022075,0.738908
song45_extra.wav,0.994729,0.133874,0.019490,0.768366
song46_extra.wav,0.959260,0.132455,0.019298,0.734502
song47_extra.wav,0.956480,0.134066,0.019269,0.730117
song49_extra.wav,1.005261,0.134184,0.019245,0.777667
song4_extra.wav,0.950856,0.132542,0.019187,0.725760
song50_extra.wav,0.963232,0.132056,0.021709,0.737116
song51_extra.wav,0.960983,0.140126,0.018840,0.729293
song52_extra.wav,0.964520,0.141916,0.018716,0.730852
song53_extra.wav,0.968966,0.138426,0.021555,0.729409
song54_extra.wav,0.964325,0.133858,0.021640,0.729093
song56_extra.wav,0.981404,0.133091,0.021312,0.754242
song57_extra.wav,0.962231,0.133135,0.021430,0.734686
song58_extra.wav,0.959804,0.132199,0.019151,0.735170
song59_extra.wav,0.954526,0.133403,0.021472,0.726302
song5_extra.wav,0.959985,0.134073,0.021477,0.731899
song60_extra.wav,0.947130,0.134074,0.018969,0.721546
song61_extra.wav,0.934441,0.114969,0.016575,0.751289
song63_extra.wav,0.926104,0.114380,0.016481,0.734856
song64_extra.wav,0.937915,0.114164,0.016347,0.755415
song65_extra.wav,0.943006,0.122778,0.016402,0.752215
song66_extra.wav,0.925048,0.112594,0.021359,0.738730
song67_extra.wav,0.938285,0.113852,0.016757,0.755948
song68_extra.wav,0.912376,0.115972,0.016700,0.727176
song69_extra.wav,0.934647,0.113779,0.016580,0.752921
song70_extra.wav,0.911636,0.122669,0.012741,0.728228
song71_extra.wav,0.880398,0.095057,0.012271,0.734997
song72_extra.wav,0.853398,0.094367,0.012247,0.703912
song73_extra.wav,0.869118,0.095750,0.012623,0.722220
song74_extra.wav,0.869695,0.102523,0.012330,0.716102
song75_extra.wav,0.853427,0.094241,0.015211,0.705975
song76_extra.wav,0.861735,0.095597,0.012268,0.715459
song78_extra.wav,0.848365,0.094467,0.012283,0.703878
song79_extra.wav,0.865393,0.095415,0.012392,0.719370
song7_extra.wav,0.848866,0.094929,0.012104,0.704013
song80_extra.wav,0.859576,0.094089,0.012372,0.715114
