song,total,write,read,dwt,gen_fpid
song11.wav,0.623686,0.173155,0.020236,0.146348,0.148431
song12_extra.wav,0.426456,0.106101,0.014430,0.101474,0.144575
song14_extra.wav,0.435394,0.109151,0.014664,0.101276,0.151987
song15_extra.wav,0.487592,0.124955,0.017448,0.114362,0.156055
song16_extra.wav,0.486883,0.126247,0.017856,0.114250,0.155634
song17_extra.wav,0.501504,0.140658,0.017753,0.114108,0.156278
song18_extra.wav,0.514328,0.124613,0.019912,0.124158,0.167087
song19_extra.wav,0.537234,0.134281,0.019739,0.126993,0.169825
song20_extra.wav,0.541705,0.140512,0.019808,0.127268,0.166894
song21_extra.wav,0.543495,0.133950,0.020012,0.126928,0.175959
song22_extra.wav,0.534205,0.133934,0.019684,0.127258,0.167203
song23_extra.wav,0.534019,0.133971,0.019589,0.127045,0.166976
song24_extra.wav,0.555662,0.140310,0.019856,0.142032,0.167109
song26_extra.wav,0.543085,0.134542,0.020419,0.126743,0.166785
song27_extra.wav,0.536139,0.133768,0.019851,0.127329,0.169221
song28_extra.wav,0.541453,0.142132,0.019358,0.126554,0.167369
song44_extra.wav,0.545674,0.134739,0.019815,0.127335,0.177728
song45_extra.wav,0.533715,0.133964,0.019814,0.126340,0.167293
song46_extra.wav,0.533749,0.133996,0.019582,0.127296,0.167114
song47_extra.wav,0.549195,0.135096,0.019731,0.130165,0.166912
song49_extra.wav,0.516447,0.133787,0.020550,0.126691,0.148452
song4_extra.wav,0.534693,0.133085,0.019821,0.126447,0.169396
song50_extra.wav,0.542007,0.141531,0.019892,0.126881,0.167413
song51_extra.wav,0.543784,0.133342,0.020589,0.127137,0.177024
song52_extra.wav,0.442731,0.114556,0.015135,0.104247,0.147297
song53_extra.wav,0.441467,0.114002,0.015038,0.104212,0.147421
song54_extra.wav,0.434618,0.114927,0.015273,0.094499,0.148055
song56_extra.wav,0.441678,0.113765,0.015055,0.104182,0.147697
song57_extra.wav,0.381809,0.097184,0.011132,0.091612,0.136741
song58_extra.wav,0.378561,0.094002,0.011264,0.091698,0.136721
song59_extra.wav,0.381570,0.095789,0.011326,0.091973,0.136631
song5_extra.wav,0.378945,0.094120,0.011102,0.091584,0.136831
song60_extra.wav,0.380899,0.095242,0.011389,0.091652,0.136793
song61_extra.wav,0.345840,0.083365,0.011470,0.083828,0.130501
song63_extra.wav,0.344355,0.083235,0.009802,0.083965,0.130428
song64_extra.wav,0.326578,0.083790,0.009821,0.084045,0.112528
song65_extra.wav,0.347116,0.084301,0.011595,0.084104,0.130381
song66_extra.wav,0.345246,0.082929,0.011651,0.083923,0.130135
song67_extra.wav,0.345129,0.084066,0.009787,0.084022,0.130572
song68_extra.wav,0.321795,0.076827,0.009779,0.078574,0.126083
song69_extra.wav,0.324145,0.077697,0.010194,0.078915,0.126300
song70_extra.wav,0.323538,0.078198,0.009867,0.078997,0.125986
song71_extra.wav,0.323684,0.078211,0.009840,0.078897,0.126208
song72_extra.wav,0.378046,0.109590,0.013901,0.085322,0.128150
song73_extra.wav,0.293101,0.079509,0.010801,0.080028,0.090631
song74_extra.wav,0.323951,0.077357,0.010200,0.079341,0.126223
