song,total,write,read,dwt,gen_fpid
song11.wav,0.309644,0.067926,0.007650,0.132349,0.063843
song12_extra.wav,0.270896,0.062965,0.006495,0.120561,0.063218
song14_extra.wav,0.270437,0.063695,0.006448,0.120282,0.063142
song15_extra.wav,0.269435,0.063379,0.006401,0.119817,0.063149
song16_extra.wav,0.269048,0.063249,0.006418,0.119911,0.063041
song17_extra.wav,0.270061,0.063859,0.006669,0.119815,0.063123
song18_extra.wav,0.269074,0.062958,0.006752,0.119845,0.063052
song19_extra.wav,0.269307,0.063402,0.006402,0.119799,0.063076
song20_extra.wav,0.269836,0.063857,0.006464,0.119846,0.063067
song21_extra.wav,0.269504,0.063409,0.006668,0.119856,0.063083
song22_extra.wav,0.269353,0.063737,0.006372,0.119895,0.063007
song23_extra.wav,0.272466,0.063888,0.006386,0.119788,0.063031
song24_extra.wav,0.269124,0.063432,0.006258,0.119811,0.063020
song26_extra.wav,0.269515,0.063612,0.006346,0.119799,0.063118
song27_extra.wav,0.269957,0.064167,0.006432,0.119820,0.063072
song28_extra.wav,0.270249,0.063292,0.006463,0.120238,0.063191
song44_extra.wav,0.269243,0.063218,0.006419,0.119917,0.063107
song45_extra.wav,0.271771,0.063400,0.006357,0.119812,0.063063
song46_extra.wav,0.274681,0.068740,0.006343,0.119950,0.063053
song47_extra.wav,0.277560,0.063796,0.006336,0.127682,0.063148
song49_extra.wav,0.269379,0.063502,0.006447,0.119902,0.063094
song4_extra.wav,0.298373,0.063583,0.006742,0.148296,0.063085
song50_extra.wav,0.270266,0.064511,0.006362,0.119840,0.063060
song51_extra.wav,0.282165,0.063994,0.006417,0.132117,0.063097
song52_extra.wav,0.269057,0.063291,0.006328,0.119941,0.063085
song53_extra.wav,0.244718,0.063631,0.006350,0.095141,0.063086
song54_extra.wav,0.269318,0.063682,0.006263,0.119869,0.063056
song56_extra.wav,0.299210,0.063639,0.006636,0.149118,0.063116
song57_extra.wav,0.269458,0.063566,0.006327,0.119960,0.063049
song58_extra.wav,0.289282,0.063233,0.006378,0.139987,0.063058
song59_extra.wav,0.269996,0.064206,0.006313,0.119947,0.063046
song5_extra.wav,0.292854,0.063572,0.006449,0.142822,0.063203
song60_extra.wav,0.269840,0.064054,0.006307,0.119884,0.063109
song61_extra.wav,0.291884,0.064172,0.006397,0.141569,0.063193
song63_extra.wav,0.269305,0.063636,0.006290,0.119921,0.063103
song64_extra.wav,0.285195,0.063228,0.006381,0.135973,0.063075
song65_extra.wav,0.269076,0.063329,0.006250,0.119877,0.063094
song66_extra.wav,0.293313,0.069510,0.006461,0.137715,0.063205
song67_extra.wav,0.268983,0.063306,0.006331,0.119852,0.063095
song68_extra.wav,0.245437,0.063724,0.006384,0.095395,0.063321
song69_extra.wav,0.269348,0.063802,0.006298,0.119814,0.063019
song70_extra.wav,0.225455,0.063822,0.006344,0.119897,0.018784
song71_extra.wav,0.268383,0.062753,0.006290,0.119824,0.063070
song72_extra.wav,0.269581,0.063636,0.006480,0.119909,0.063071
song73_extra.wav,0.268869,0.063047,0.006479,0.119911,0.062990
song74_extra.wav,0.270145,0.064342,0.006399,0.119965,0.063131
song75_extra.wav,0.269150,0.063391,0.006318,0.119772,0.063119
