song,total,write,read,gen_fpid
song11.wav,0.556232,0.201735,0.024764,0.187806
song12_extra.wav,0.431219,0.106560,0.016219,0.256086
song14_extra.wav,0.438555,0.109688,0.019440,0.235086
song15_extra.wav,0.432465,0.125724,0.019560,0.225605
song16_extra.wav,0.432199,0.126315,0.018768,0.225466
song17_extra.wav,0.448118,0.135013,0.018985,0.232282
song18_extra.wav,0.468374,0.134666,0.021642,0.239394
song19_extra.wav,0.477567,0.134346,0.021392,0.248396
song20_extra.wav,0.466894,0.133070,0.021625,0.239575
song21_extra.wav,0.467377,0.131695,0.021404,0.239981
song22_extra.wav,0.466727,0.133472,0.021250,0.239619
song23_extra.wav,0.465621,0.131857,0.021424,0.239869
song24_extra.wav,0.460665,0.141846,0.021890,0.222890
song26_extra.wav,0.469271,0.134958,0.021287,0.239865
song27_extra.wav,0.442311,0.134125,0.021745,0.213506
song28_extra.wav,0.472945,0.139390,0.021208,0.239596
song44_extra.wav,0.467610,0.133009,0.021507,0.239495
song45_extra.wav,0.471366,0.132294,0.021804,0.242243
song46_extra.wav,0.467416,0.133695,0.021549,0.239715
song47_extra.wav,0.479566,0.133021,0.021382,0.251964
song49_extra.wav,0.466075,0.133571,0.021098,0.239563
song4_extra.wav,0.477957,0.134615,0.020703,0.250272
song50_extra.wav,0.466572,0.133667,0.021243,0.239881
song51_extra.wav,0.478106,0.143640,0.021462,0.239560
song52_extra.wav,0.472993,0.132732,0.028582,0.239833
song53_extra.wav,0.463732,0.131630,0.020745,0.239400
song54_extra.wav,0.417617,0.133375,0.021710,0.190119
song56_extra.wav,0.465089,0.132500,0.021091,0.239537
song57_extra.wav,0.390533,0.134532,0.016570,0.182637
song58_extra.wav,0.404742,0.123641,0.015881,0.213872
song59_extra.wav,0.396377,0.113709,0.016112,0.214401
song5_extra.wav,0.395359,0.114438,0.016065,0.213664
song60_extra.wav,0.393617,0.115845,0.012494,0.218071
song61_extra.wav,0.344253,0.094663,0.012381,0.198959
song63_extra.wav,0.343882,0.094530,0.012400,0.198940
song64_extra.wav,0.343753,0.094428,0.013021,0.198791
song65_extra.wav,0.343932,0.094570,0.012400,0.198798
song66_extra.wav,0.352881,0.102386,0.012889,0.199281
song67_extra.wav,0.321958,0.084919,0.015949,0.190374
song68_extra.wav,0.297801,0.084044,0.012923,0.170133
song69_extra.wav,0.317488,0.084072,0.012429,0.190409
song70_extra.wav,0.317176,0.083993,0.012321,0.190198
song71_extra.wav,0.315502,0.082855,0.012129,0.190195
song72_extra.wav,0.324051,0.090796,0.012648,0.190159
song73_extra.wav,0.339348,0.091854,0.010537,0.210160
song74_extra.wav,0.298194,0.077582,0.010540,0.184699
song75_extra.wav,0.297786,0.077406,0.010515,0.184512
song76_extra.wav,0.296454,0.077282,0.010586,0.182961
song78_extra.wav,0.298152,0.077802,0.010548,0.184625
song79_extra.wav,0.299058,0.077796,0.011097,0.184586
song7_extra.wav,0.302513,0.078302,0.010503,0.184470
song80_extra.wav,0.295187,0.077771,0.009071,0.184027
song81_extra.wav,0.284761,0.073261,0.009292,0.180362
song82_extra.wav,0.278468,0.074538,0.009466,0.172924
song83_extra.wav,0.284466,0.072976,0.009261,0.180610
song85_extra.wav,0.284572,0.073320,0.009031,0.180470
song86_extra.wav,0.289526,0.073418,0.013489,0.180533
song87_extra.wav,0.285861,0.074400,0.009067,0.180549
song88_extra.wav,0.288218,0.077243,0.009089,0.180255
song89_extra.wav,0.283099,0.073769,0.008607,0.179982
