song_names,total_time
song244.wav,0.019342
song245.wav,0.021363
song246.wav,0.020364
song247.wav,0.019901
song248.wav,0.019664
song249.wav,0.019783
song24.wav,0.020966
song250.wav,0.018883
song251.wav,0.018295
song252.wav,0.019148
song253.wav,0.019496
song254.wav,0.020763
song255.wav,0.018515
song256.wav,0.020538
song257.wav,0.020014
song258.wav,0.020895
song259.wav,0.020318
song25.wav,0.020415
song260.wav,0.021510
song261.wav,0.021148
song262.wav,0.020469
song263.wav,0.020253
song264.wav,0.020554
song265.wav,0.019895
song266.wav,0.019463
song267.wav,0.018954
song268.wav,0.021156
song269.wav,0.021117
song26.wav,0.019578
song270.wav,0.019705
song271.wav,0.019742
song272.wav,0.020295
song273.wav,0.019399
song274.wav,0.020683
song275.wav,0.032887
song276.wav,0.020705
song277.wav,0.020141
song278.wav,0.019340
song279.wav,0.020286
song27.wav,0.032837
song280.wav,0.020850
song281.wav,0.020912
song282.wav,0.035487
song283.wav,0.019455
song284.wav,0.021024
song285.wav,0.020359
song286.wav,0.021201
song287.wav,0.020247
song288.wav,0.020416
song289.wav,0.020670
song28.wav,0.020862
song290.wav,0.019878
song291.wav,0.020966
song292.wav,0.021121
song293.wav,0.021053
song294.wav,0.020118
song295.wav,0.020407
song296.wav,0.021515
song297.wav,0.019977
song298.wav,0.021843
song299.wav,0.019273
song29.wav,0.021016
song2.wav,0.019232
song300.wav,0.019319
song301.wav,0.018166
song302.wav,0.020742
song303.wav,0.019871
song304.wav,0.021642
song305.wav,0.021577
song306.wav,0.019873
song307.wav,0.021558
song308.wav,0.019811
song309.wav,0.020986
song30.wav,0.021625
song310.wav,0.021499
song311.wav,0.020584
song312.wav,0.021378
song313.wav,0.019787
song314.wav,0.020161
song315.wav,0.020711
song316.wav,0.020025
song317.wav,0.021297
song318.wav,0.021284
song319.wav,0.019850
song31.wav,0.019772
song320.wav,0.018796
song321.wav,0.021474
song322.wav,0.021636
song323.wav,0.020877
song324.wav,0.020225
song325.wav,0.020554
song326.wav,0.020068
song327.wav,0.021337
song328.wav,0.019785
song329.wav,0.020016
song32.wav,0.018815
song330.wav,0.021532
song331.wav,0.019636
song332.wav,0.020454
song333.wav,0.021053
song334.wav,0.021370
song335.wav,0.020402
song336.wav,0.020415
song337.wav,0.022810
song338.wav,0.019636
song339.wav,0.020638
song33.wav,0.020025
song340.wav,0.020986
song341.wav,0.020625
song342.wav,0.021309
song343.wav,0.018900
song344.wav,0.019480
song345.wav,0.021219
song346.wav,0.020782
song347.wav,0.020733
song348.wav,0.020390
song349.wav,0.021623
song34.wav,0.021182
song350.wav,0.020454
song351.wav,0.020232
song352.wav,0.021691
song353.wav,0.020435
song354.wav,0.020748
song355.wav,0.019606
song356.wav,0.019375
song357.wav,0.021286
song358.wav,0.018694
song359.wav,0.022732
song35.wav,0.020960
song360.wav,0.021277
song361.wav,0.021514
song362.wav,0.021556
song363.wav,0.020966
song364.wav,0.020893
song365.wav,0.019453
song366.wav,0.019357
song367.wav,0.021307
song368.wav,0.019303
song369.wav,0.020996
song36.wav,0.020478
song370.wav,0.019668
song371.wav,0.020469
song372.wav,0.021415
song373.wav,0.020614
song374.wav,0.021473
